日期,幣別,即期買入匯率,即期賣出匯率
20211027,GBP,38.07,38.47
20211027,AUD,20.8,21
20211027,CAD,22.34,22.54
20211027,SGD,20.54,20.72
20211027,CHF,30.16,30.41
20211027,JPY,0.2426,0.2466
20211027,ZAR,1.82,1.9
20211027,SEK,3.19,3.29
20211027,NZD,19.81,20.01
20211027,THB,0.821,0.861
20211027,EUR,32.08,32.48
20211027,CNY,4.331,4.381
20211026,USD,27.78,27.88
20211026,HKD,3.549,3.609
20211026,GBP,38.14,38.54
20211026,AUD,20.75,20.95
20211026,CAD,22.37,22.57
20211026,SGD,20.55,20.73
20211026,CHF,30.03,30.28
20211026,JPY,0.2421,0.2461
20211026,ZAR,1.849,1.929
20211026,SEK,3.18,3.28
20211026,NZD,19.82,20.02
20211026,THB,0.8238,0.8638
20211026,EUR,32.09,32.49
20211026,CNY,4.335,4.385
20211025,USD,27.81,27.91
20211025,HKD,3.553,3.613
20211025,GBP,38.23,38.63
20211025,AUD,20.79,20.99
20211025,CAD,22.48,22.68
20211025,SGD,20.64,20.82
20211025,CHF,30.26,30.51
20211025,JPY,0.2432,0.2472
20211025,ZAR,1.84,1.92
20211025,SEK,3.2,3.3
20211025,NZD,19.9,20.1
20211025,THB,0.8266,0.8666
20211025,EUR,32.28,32.68
20211025,CNY,4.344,4.394
20211022,USD,27.835,27.935
20211022,HKD,3.556,3.616
20211022,GBP,38.23,38.63
20211022,AUD,20.8,21
20211022,CAD,22.5,22.7
20211022,SGD,20.65,20.83
20211022,CHF,30.27,30.52
20211022,JPY,0.2429,0.2469
20211022,ZAR,1.867,1.947
20211022,SEK,3.2,3.3
20211022,NZD,19.93,20.13
20211022,THB,0.8223,0.8623
20211022,EUR,32.27,32.67
20211022,CNY,4.34,4.39
20211021,USD,27.855,27.955
20211021,HKD,3.559,3.619
20211021,GBP,38.37,38.77
20211021,AUD,20.8,21
20211021,CAD,22.54,22.74
20211021,SGD,20.66,20.84
20211021,CHF,30.19,30.44
20211021,JPY,0.2426,0.2466
20211021,ZAR,1.887,1.967
20211021,SEK,3.2,3.3
20211021,NZD,19.93,20.13
20211021,THB,0.8204,0.8604
20211021,EUR,32.29,32.69
20211021,CNY,4.337,4.387
20211020,USD,27.865,27.965
20211020,HKD,3.559,3.619
20211020,GBP,38.26,38.66
20211020,AUD,20.8,21
20211020,CAD,22.51,22.71
20211020,SGD,20.67,20.85
20211020,CHF,30.05,30.3
20211020,JPY,0.2422,0.2462
20211020,ZAR,1.877,1.957
20211020,SEK,3.19,3.29
20211020,NZD,19.91,20.11
20211020,THB,0.8205,0.8605
20211020,EUR,32.26,32.66
20211020,CNY,4.343,4.393
20211019,USD,27.875,27.975
20211019,HKD,3.56,3.62
20211019,GBP,38.29,38.69
20211019,AUD,20.74,20.94
20211019,CAD,22.55,22.75
20211019,SGD,20.69,20.87
20211019,CHF,30.2,30.45
20211019,JPY,0.243,0.247
20211019,ZAR,1.873,1.953
20211019,SEK,3.2,3.3
20211019,NZD,19.84,20.04
20211019,THB,0.8237,0.8637
20211019,EUR,32.35,32.75
20211019,CNY,4.339,4.389
20211018,USD,27.95,28.05
20211018,HKD,3.569,3.629
20211018,GBP,38.3,38.7
20211018,AUD,20.63,20.83
20211018,CAD,22.51,22.71
20211018,SGD,20.65,20.83
20211018,CHF,30.13,30.38
20211018,JPY,0.2431,0.2471
20211018,ZAR,1.865,1.945
20211018,SEK,3.19,3.29
20211018,NZD,19.7,19.9
20211018,THB,0.8216,0.8616
20211018,EUR,32.27,32.67
20211018,CNY,4.328,4.378
20211015,USD,27.98,28.08
20211015,HKD,3.572,3.632
20211015,GBP,38.27,38.67
20211015,AUD,20.7,20.9
